id_transaccion,fecha_transaccion,tipo_transaccion,cliente_proveedor,cantidad_kwh,precio_kwh,tipo_energia,hora_transaccion,ciudad,nombre_proveedor,capacidad_mw,fecha_contrato,tipo_cliente
TXN001,2024-01-15,compra,Eólica del Norte,5000.0,0.12,eólica,14:30:00,Barranquilla,Eólica del Norte,150.5,2023-01-15,industrial
TXN002,2024-01-15,venta,Juan Pérez Residencial,350.5,0.18,eólica,15:45:00,Bogotá,Eólica del Norte,150.5,2023-01-15,residencial
TXN003,2024-01-15,compra,Hidroeléctrica Guatapé,8000.0,0.10,hidroeléctrica,16:00:00,Medellín,Hidroeléctrica Guatapé,560.0,2022-08-20,industrial
TXN004,2024-01-15,venta,Textiles Colombia SA,2600.8,0.16,hidroeléctrica,16:30:00,Medellín,Hidroeléctrica Guatapé,560.0,2022-08-20,comercial
TXN005,2024-01-16,compra,Nuclear Atlántico,12000.0,0.08,nuclear,08:15:00,Santa Marta,Nuclear Atlántico,1200.0,2021-11-10,industrial
TXN006,2024-01-16,venta,Supermercados del Valle,1490.5,0.17,nuclear,09:20:00,Cali,Nuclear Atlántico,1200.0,2021-11-10,comercial
TXN007,2024-01-16,compra,Vientos de la Guajira,3500.0,0.11,eólica,10:45:00,Riohacha,Vientos de la Guajira,200.3,2023-03-22,industrial
TXN008,2024-01-16,venta,Centro Comercial Andino,3116.8,0.19,eólica,11:30:00,Bogotá,Vientos de la Guajira,200.3,2023-03-22,comercial
TXN009,2024-01-17,compra,Solar Santander,1200.0,0.13,solar,12:00:00,Bucaramanga,Solar Santander,95.8,2023-04-18,industrial
TXN010,2024-01-17,venta,Fábrica de Alimentos SAS,2133.4,0.15,solar,13:15:00,Bogotá,Solar Santander,95.8,2023-04-18,industrial
,,,,,,,,"Geotérmica Nariño",85.0,2023-05-20,
,,,,,,,,"Central Térmica Bogotá",450.0,2022-12-05,
,,,,,,,,"Hidroeléctrica del Cauca",380.2,2023-02-14,
,,,,,,,,"Eólica Cesar",175.6,2023-01-30,
,,,,,,,,"Hidroeléctrica Boyacá",220.1,2022-09-12,
